1,U+0B85
2,U+0B86
3,U+0B87
4,U+0B88
5,U+0B89
6,U+0B8A
7,U+0B8E
8,U+0B8F
9,U+0B90
10,U+0B92
11,U+0B93
12,U+0B94
13,U+0B95
14,U+0B95 U+0BBE
15,U+0B95 U+0BBF
16,U+0B95 U+0BC0
17,U+0B95 U+0BC1
18,U+0B95 U+0BC2
19,U+0B95 U+0BC6
20,U+0B95 U+0BC7
21,U+0B95 U+0BC8
22,U+0B95 U+0BCA
23,U+0B95  U+0BCB
24,U+0B95 U+0BCC
25,U+0B95 U+0BCD
26,U+0B99
27,U+0B99 U+0BBE
28,U+0B99 U+0BBF
29,U+0B99 U+0BC0
30,U+0B99 U+0BC1
31,U+0B99 U+0BC2
32,U+0B99 U+0BC6
33,U+0B99 U+0BC7
34,U+0B99 U+0BC8
35,U+0B99 U+BCA
36,U+0B99 U+BCB
37,U+0B99 U+BCC
38,U+0B99 U+BCD
39,U+0B9A
40,U+0B9A U+0BBE
41,U+0B9A U+0BBF
42,U+0B9A U+0BC0
43,U+0B9A U+0BC1
44,U+0B9A U+0BC2
45,U+0B9A U+0BC6
46,U+0B9A U+0BC7
47,U+0B9A U+0BC8
48,U+0B9A U+0BCA
49,U+0B9A U+0BCB
50,U+0B9A U+0BCC
51,U+0B9A U+0BCD
52,U+0B9E
53,U+0B9E U+0BBE
54,U+0B9E U+0BBF
55,U+0B9E U+0BC0
56,U+0B9E U+0BC1
57,U+0B9E U+0BC2
58,U+0B9E U+0BC6
59,U+0B9E U+0BC7
60,U+0B9E U+0BC8
61,U+0B9E U+0BCA
62,U+0B9E U+0BCB
63,U+0B9E U+0BCC
64,U+0B9E U+0BCD
65,U+0B9F
66,U+0B9F U+0BBE
67,U+0B9F U+0BBF
68,U+0B9F U+0BC0
69,U+0B9F U+0BC1
70,U+0B9F U+0BC2
71,U+0B9F U+0BC6
72,U+0B9F U+0BC7
73,U+0B9F U+0BC8
74,U+0B9F U+0BCA
75,U+0B9F U+0BCB
76,U+0B9F U+0BCC
77,U+0B9F U+0BCD
78,U+0BA3
79,U+0BA3 U+0BBE
80,U+0BA3 U+0BBF
81,U+0BA3 U+0BC0
82,U+0BA3 U+0BC1
83,U+0BA3 U+0BC2
84,U+0BA3 U+0BC6
85,U+0BA3 U+0BC7
86,U+0BA3 U+0BC8
87,U+0BA3 U+0BCA
88,U+0BA3 U+0BCB
89,U+0BA3 U+0BCC
90,U+0BA3 U+0BCD
91,U+0BA4
92,U+0BA4 U+0BBE
93,U+0BA4 U+0BBF
94,U+0BA4 U+0BC0
95,U+0BA4 U+0BC1
96,U+0BA4 U+0BC2
97,U+0BA4 U+0BC6
98,U+0BA4 U+0BC7
99,U+0BA4 U+0BC8
100,U+0BA4 U+0BCA
101,U+0BA4 U+0BCB
102,U+0BA4 U+0BCC
103,U+0BA4 U+0BCD
104,U+0BA8
105,U+0BA8 U+0BBE
106,U+0BA8 U+0BBF
107,U+0BA8 U+0BC0
108,U+0BA8 U+0BC1
109,U+0BA8 U+0BC2
110,U+0BA8 U+0BC6
111,U+0BA8 U+0BC7
112,U+0BA8 U+0BC8
113,U+0BA8 U+0BCA
114,U+0BA8 U+0BCB
115,U+0BA8 U+0BCC
116,U+0BA8 U+0BCD
117,U+0BAA
118,U+0BAA  U+0BBE
119,U+0BAA  U+0BBF
120,U+0BAA U+0BC0
121,U+0BAA U+0BC1
122,U+0BAA U+0BC2
123,U+0BAA U+0BC6
124,U+0BAA U+0BC7
